role_code,role_name,itviec_slug_used,itviec_open_postings,topdev_open_postings,linkedin_open_postings,measured_at,confidence,note
SWE_ARCH_ENT,Enterprise Architect,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_ARCH_SOL,Solution Architect,solution-architect,14,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side. Slug solution-architect thấy trên ITviec; vẫn cần kiểm tay nếu dùng làm số chuẩn."
SWE_ARCH_SW,Software Architect,software-technical-architect,19,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_EM,Engineering Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_TECHLEAD,Tech Lead,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_AIARCH,AI Solution Architect,data-architect,3,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side. ITviec slug là data-architect; chưa tách riêng AI Solution Architect."
DATA_PM,Data Product Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_ARCH,Cloud Architect,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_LEAD,DevOps / Platform Lead,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_ISM,Information Security Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_AGILE,Agile Coach,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_DM,Delivery Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_PJM,Project Manager,project-manager,21,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
PROD_PL,Project Leader,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_LEAD,QA/QC Lead / Test Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_ITMANAGER,IT Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
