stt,role_code,role_name,role_name_vn,trai_nghiem_roleplay,similar_roles,similar_role_codes,so_role_gop,destination_roles,archetype,bands,role_group
1,SWE_FRONTEND,Frontend Developer,Lập trình viên Front-end,"Dựng giao diện, thấy kết quả ngay trên màn hình",Web Developer,SWE_WEB,1,,A,L1-L7,Software Engineering & Architecture
2,SWE_BACKEND,Backend Developer,Lập trình viên Back-end / Kỹ sư Back-end,"Logic nghiệp vụ, dữ liệu, thứ người dùng không thấy",Full-stack Developer; AI-First Software Engineer; Bridge Software Engineer (BrSE); Blockchain Engineer,SWE_FULLSTACK; SWE_AIFIRST; SWE_BRSE; SWE_BLOCKCHAIN,4,Tech Lead; Engineering Manager; Solution Architect; Enterprise Architect; Software Architect; Chief Technology Officer; VP of Engineering,A,L1-L7,Software Engineering & Architecture
3,SWE_MOBILE,Mobile Developer,Lập trình viên Mobile / Kỹ sư ứng dụng di động,Làm app chạy trên điện thoại của chính mình,,,0,,A,L1-L7,Software Engineering & Architecture
4,SWE_GAME,Game Developer,Lập trình viên Game,Làm game — sức hút lớn nhất với lứa tuổi này,,,0,,A,L1-L7,Software Engineering & Architecture
5,SWE_UIUX,UI/UX Designer,Chuyên viên thiết kế UI/UX,"Sáng tạo thị giác, không cần code",,,0,,A,L1-L7,Software Engineering & Architecture
6,SWE_EMBEDDED,Embedded Engineer,Kỹ sư phần mềm nhúng / Kỹ sư IoT,"Lập trình chạm vào phần cứng, thiết bị thật",,,0,,A,L1-L7,Software Engineering & Architecture
7,QA_MANUAL,Manual Tester / QC,Kỹ sư kiểm thử thủ công / Tester,"Tìm lỗi, tỉ mỉ, phá sản phẩm có hệ thống",QA Analyst / Auditor,QA_ANALYST,1,QA/QC Lead / Test Manager,A,L1-L5,Quality Assurance & Testing
8,QA_AUTO,Automation QA,Kỹ sư kiểm thử tự động,Viết code để máy tự kiểm thử,SDET; Performance Test Engineer,QA_SDET; QA_PERF,2,,D,L3-L7,Quality Assurance & Testing
9,DATA_DA,Data Analyst,Chuyên viên phân tích dữ liệu,"Đọc số liệu, tìm ra câu chuyện đằng sau",Business Intelligence Analyst,DATA_BI,1,Data Product Manager; Chief Data / AI Officer,A,L1-L6,"Data, AI & Machine Learning"
10,,AI Engineer,,Dạy máy học — gộp cả Data Scientist,AI Engineer; Data Scientist; Generative AI / LLM Engineer; Computer Vision / NLP Engineer; Prompt Engineer; AI Solution Architect,DATA_AI; DATA_DS; DATA_GENAI; DATA_CV_NLP; DATA_PROMPT; DATA_AIARCH,6,,B,L3-L7,"Data, AI & Machine Learning"
11,DATA_DE,Data Engineer,Kỹ sư dữ liệu,Xây đường ống đưa dữ liệu về một chỗ,Analytics Engineer; Data Governance Specialist,DATA_ANALYTICSENG; DATA_GOV,2,,B,L3-L7,"Data, AI & Machine Learning"
12,CLOUD_DEVOPS,DevOps Engineer,Kỹ sư DevOps,"Tự động hoá, đưa sản phẩm lên chạy thật",Automation / CI-CD Engineer; Platform Engineer; DevSecOps Engineer; FinOps Specialist; Site Reliability Engineer; MLOps Engineer; IT Operations / Infrastructure Engineer,CLOUD_AUTO; CLOUD_PLATFORM; CLOUD_DEVSECOPS; CLOUD_FINOPS; CLOUD_SRE; DATA_MLOPS; INFRA_ITOPS,7,Cloud Architect; DevOps / Platform Lead,B,L3-L7,"Cloud, DevOps & SRE"
13,CLOUD_ENG,Cloud Engineer,Kỹ sư điện toán đám mây,"Hạ tầng trên mây, cửa vào dễ tiếp cận",,,0,,D,L2-L6,"Cloud, DevOps & SRE"
14,,Cybersecurity / Security Engineer,,"Trực giám sát, điều tra cảnh báo — có ca đêm",Incident Response / DFIR Specialist; Cybersecurity / Security Engineer; GRC Analyst,SEC_IR; SEC_ENG; SEC_GRC,3,Information Security Manager; Chief Information Security Officer,A,L1-L6,Cyber Security
15,SEC_PENTEST,Penetration Tester,Chuyên viên kiểm thử xâm nhập / Hacker mũ trắng,Tấn công thử để tìm lỗ hổng — sức hút lớn,Security Tester; Application Security Engineer; AI Security Engineer,QA_SECTEST; SEC_APPSEC; SEC_AISEC,3,,B,L3-L7,Cyber Security
16,PROD_BA,Business Analyst,Chuyên viên phân tích nghiệp vụ / BA,"Cầu nối nghiệp vụ, giao tiếp, ít code",,,0,,A,L1-L7,Product & Project Management
17,PROD_PM,Product Manager,Quản lý sản phẩm / Product Manager,"Quyết định làm gì trước, làm gì sau",Product Owner; Scrum Master,PROD_PO; PROD_SM,2,Project Manager; Project Leader; Delivery Manager; Agile Coach; Chief Product Officer,D,L3-L9,Product & Project Management
18,INFRA_HELPDESK,IT Helpdesk,Nhân viên hỗ trợ kỹ thuật / IT Support,"Hỗ trợ người dùng, xử lý sự cố trực tiếp",System Administrator; Systems Engineer; Database Administrator; ERP Consultant / Engineer; Salesforce / CRM Consultant; SAP Basis Administrator; Network Engineer,INFRA_SYSADMIN; INFRA_SYSENG; INFRA_DBA; INFRA_ERP; INFRA_CRM; INFRA_SAPBASIS; INFRA_NETWORK,7,IT Manager; Chief Information Officer,A,L1-L4,IT Infrastructure & Enterprise Systems
