nhom,stt,role_code,role_name_goc,ten_trong_app,role_name_vn,role_group,trai_nghiem_roleplay,gop_vao_role,cac_role_gop_vao_day,so_role_gop,di_len_tu_role,nhom_ly_do,ly_do_chi_tiet
GROUP 1 - GIU LAI,1,SWE_FRONTEND,Front-end Developer,Frontend Developer,Lập trình viên Front-end,Software Engineering & Architecture,"Dựng giao diện, thấy kết quả ngay trên màn hình",,Web Developer,1,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,2,SWE_BACKEND,Back-end Developer,Backend Developer,Lập trình viên Back-end / Kỹ sư Back-end,Software Engineering & Architecture,Viết logic nghiệp vụ và xử lý dữ liệu — phần người dùng không nhìn thấy,,Full-stack Developer,1,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,3,SWE_MOBILE,Mobile Developer,Mobile Developer,Lập trình viên Mobile / Kỹ sư ứng dụng di động,Software Engineering & Architecture,Làm app chạy trên chính chiếc điện thoại của mình,,,0,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,4,SWE_GAME,Game Developer,Game Developer,Lập trình viên Game,Software Engineering & Architecture,"Làm game: đồ hoạ, gameplay, cảm giác chơi",,,0,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,5,SWE_UIUX,UI/UX Designer,UI/UX Designer,Chuyên viên thiết kế UI/UX,Software Engineering & Architecture,Sáng tạo thị giác và trải nghiệm — KHÔNG cần code,,,0,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,6,SWE_EMBEDDED,Embedded Software Engineer,Embedded Engineer,Kỹ sư phần mềm nhúng / Kỹ sư IoT,Software Engineering & Architecture,Lập trình điều khiển thiết bị phần cứng thật,,,0,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,7,SWE_ARCH_SOL,Solution Architect,Solution Architect,Kiến trúc sư giải pháp,Software Engineering & Architecture,"Thiết kế kiến trúc tổng thể cho cả hệ thống, chọn công nghệ và cân đối đánh đổi",,Enterprise Architect; Software Architect; Cloud Architect; AI Solution Architect,4,Backend Developer; Frontend Developer; Tech Lead; DevOps Engineer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,8,SWE_TECHLEAD,Tech Lead,Tech Lead,Trưởng nhóm kỹ thuật,Software Engineering & Architecture,"Dẫn dắt kỹ thuật một đội, vẫn code nhưng quyết định hướng đi",,,0,Backend Developer; Frontend Developer; Mobile Developer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,9,SWE_EM,Engineering Manager,Engineering Manager,Trưởng phòng Kỹ thuật,Software Engineering & Architecture,"Chịu trách nhiệm về con người: tuyển, đánh giá hiệu suất, phát triển đội",,DevOps / Platform Lead; Information Security Manager; IT Manager,3,Tech Lead; Solution Architect,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,10,QA_MANUAL,Manual Tester / QC,Quality Engineer,Kỹ sư kiểm thử thủ công / Tester,Quality Assurance & Testing,"Tìm lỗi có hệ thống, tỉ mỉ từng chi tiết — bắt đầu từ kiểm thử thủ công, tiến dần sang viết code tự động hoá",,Automation QA Engineer; QA Analyst / Auditor; QA/QC Lead / Test Manager; SDET; Performance Test Engineer,5,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
