jd_id,file,url,company,company_type,business_model,title_observed,years_total_required,years_arch_required,band_final,is_architect_role,scope_signals,tasks_raw,skills_hard_raw,certs,degree_requirement,work_env_signals,salary_posted,captured_at,note
ARCH01,EA-techcombank.txt,https://ub.edu.vn/tuyen-dung-ngan-hang/enterprise-architect-40001081-techcombank-54001244-26032026/,Techcombank,enterprise_bank,product_inhouse,Enterprise Architect (40001081),At least 8 years,KHONG_NHAC,L7,TRUE,"Build general EA framework for the whole bank; define reference enterprise architecture patterns organisation-wide; provide architectural guidance to multiple agile teams and across product portfolios; assess and/or approve solution architectures; Direct Manager = Director, Enterprise Architecture; external stakeholders = SBV","Build general EA framework to meet Bank's business strategy; Build technology standards and design methods; Develop technology directions for Cloud, Customer-centric architecture, Digital; Maintain group wide EA framework (as-is and to-be); Assess/approve solution architectures; Review architecture compliance; Enable retirement of obsolete technologies","SOA concepts and design patterns; architectural governance; cloud computing; virtualization; solution diagramming/documentation; non-functional requirements; heterogeneous platforms/OS/middleware",KHONG_NHAC,"Graduated in Information Technology or Banking","At office; Ha Noi; Technology Division; level tag = Expert",KHONG_NHAC,2026-08-22,"Bang cap chap nhan nganh Banking, khong bat buoc CNTT. Bao cao truc tiep cho Director Enterprise Architecture -> EA nam DUOI Director."
ARCH02,EA-hdbank.txt,https://www.linkedin.com/jobs/view/4443497844/,HDBank,enterprise_bank,product_inhouse,CHUYEN GIA ARCHITECTURE (Kien truc giai phap & He thong),12-15 nam,Toi thieu 5 nam,L7-L8,TRUE,"Dan dat thiet ke kien truc tong the cho cac du an Core nganh va nen tang dung chung cua Tap doan; dam bao nhat quan xuyen cac cong ty thanh vien; tu van cap lanh dao C-level; tham dinh thiet ke ky thuat truoc go-live","Thiet ke kien truc tong the (Solution/Enterprise Architecture) cho he thong Core nganh va nen tang dung chung; Tham dinh thiet ke ky thuat (Architecture Review) truoc go-live; Tu van cong nghe cho Ban Chi dao; Dam bao tinh nhat quan va kha nang tich hop giua cac du an/cong ty thanh vien; tranh dau tu trung lap","Enterprise Architecture; Solution Architecture; Cloud; core banking; core bao hiem; ERP; lam viec voi vendor Temenos/AWS/Microsoft","TOGAF 9/10 (bat buoc hoac uu tien cao); AWS/Azure/GCP Solutions Architect Professional; ArchiMate; ITIL 4; BIAN la loi the lon","Tot nghiep Dai hoc CNTT/KHMT/HTTT hoac lien quan; uu tien Thac si/MBA doi voi cap Director/Head","At office; Ho Chi Minh; mo hinh SWAT Team, cuong do cao trong giai doan trien khai trong diem",KHONG_NHAC,2026-08-22,"Title tren ITviec la 'Enterprise / Solution Architect Expert' -> chinh cong ty cung gop EA va SA lam mot. Nhac Director/Head nhu mot cap CAO HON."
ARCH03,EA-nab.txt,https://www.linkedin.com/jobs/view/enterprise-architect-merchant-service-at-nab-innovation-centre-vietnam-4204734088/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,Enterprise Architect - Merchant Service,10+ years,5+ years,L7,TRUE,"Set technical direction for projects; consult with Enterprise Architects to understand target state, Security and Data architects for patterns; shape business and tech strategy","Produce end-to-end architectures aligned to Technology Roadmap; Produce options analysis and recommendations balancing speed to value, cost, target state, data and security; Research COTS products, microservices structure, public cloud services; Consult with other architects","microservices; public cloud; COTS evaluation; regulatory and legacy constraints; Card Transaction/Payment/Merchant Facility domain","Architecture or technology-related certifications/cloud will be an advantage (khong bat buoc)",KHONG_NHAC,"Hybrid; Australia training opportunity",KHONG_NHAC,2026-08-22,"NOI DUNG BODY GHI 'A solution Architect at NAB sets the technical direction' -> title EA nhung mo ta la SA. Khoi yeu cau TRUNG NGUYEN VAN voi ARCH08 (Solution Architect)."
ARCH04,EA-nab-v2.txt,https://www.linkedin.com/jobs/view/enterprise-architecture-operations-at-nab-innovation-centre-vietnam-4303969467/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,Enterprise Architecture Operations,5+ years,2+ years (desirable),KHONG_XEP_BAND,FALSE,"Practice Analyst supporting architects; operate and maintain architecture tooling; answer practitioner queries; manage access support requests","Operate/maintain/enhance ServiceNow APM, SharePoint 360, Confluence; Gather requirements and create feature stories in Rally; Test features, run automated test scripts, raise defects; Create incident records if tooling breaks; Support Data Quality Improvement; Maintain architecture artefacts and knowledgebase","ServiceNow (APM/Enterprise Architecture); SharePoint Online; Confluence; Rally; Excel pivot/macros; Power BI; Clarity; Signavio; GitHub; Azure/AWS exposure","Cloud certifications desirable but not essential",KHONG_NHAC,Hybrid,KHONG_NHAC,2026-08-22,"KHONG PHAI role kien truc. Cong viec la van hanh cong cu quan tri kien truc. Kinh nghiem kien truc chi 'desirable'. Khong duoc gop vao band cua EA."
ARCH05,senior-EA-nab.txt,https://www.linkedin.com/jobs/view/senior-enterprise-architecture-operations-at-nab-innovation-centre-vietnam-4278740147/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,Senior Enterprise Architecture Operations,10+ years,2+ years (desirable),KHONG_XEP_BAND,FALSE,"Support S&A practitioners, Leadership Team and executives; provide training to architects co-located in Vietnam offices; assist internal and external audits","Support operation of the technology modernisation model in ServiceNow/CMDB; Create, prioritise, test and deliver features in ServiceNow; Identify improvements in Architecture processes and policies; Assist with Internal and External Audits; Provide training and support to Architecture practitioners","ServiceNow (APM, Enterprise Architecture); CMDB; SharePoint Online; Confluence; Rally; Excel; Power BI; Clarity; Signavio; GitHub","Cloud certifications desirable but not essential",KHONG_NHAC,Hybrid,KHONG_NHAC,2026-08-22,"Nhu ARCH04 nhung 10+ nam. Cung khong phai role kien truc. Chenh 5 nam so voi ARCH04 cho cung mot cong viec."
ARCH06,senior-SA-ACB.txt,https://www.linkedin.com/jobs/view/4456142152/,ACB,enterprise_bank,product_inhouse,Senior Solution Architect,8+ years,8+ years (EA/SA/Digital Transformation),L7,TRUE,"Review architecture and technology deliverables developed by internal teams AND external partners; ensure issues addressed prior to approval; facilitate architecture reviews and governance forums; constructively challenge and validate recommendations from partners and vendors","Review architecture, solution design and technology deliverables; Coordinate review activities with business/technology/governance stakeholders; Assess alignment with enterprise principles and target-state architecture; Identify architectural risks, gaps, dependencies; Facilitate architecture reviews and design walkthroughs; Validate deliverables against acceptance criteria","TOGAF; BIAN; DDD; API; Integration; Cloud; Microservices Architecture; architecture governance","Job poster tags: 5+ years TOGAF; 5+ years Architecture Governance; 3+ years API Development",KHONG_NHAC,KHONG_NHAC,KHONG_NHAC,2026-08-22,"Title la Solution Architect nhung noi dung 100% la governance/review - gan EA hon SA. Yeu cau kinh nghiem viet gop 'Enterprise Architecture, Solution Architecture, Digital Transformation'."
ARCH07,senior-ESA-software-one.txt,https://www.linkedin.com/jobs/view/4450050332/,SoftwareOne,outsourcing,outsourcing,Senior Enterprise Solution Architect - Data,KHONG_NHAC,KHONG_NHAC,L7,TRUE,"Lead architecture engagements for strategic customers; trusted advisory to customer stakeholders and leadership teams; mentor delivery teams; provide architectural governance throughout project lifecycles","Lead data architecture engagements from assessment through solution design; Design cloud-based data platforms and migration approaches; Define data governance, security, resilience, compliance principles; Facilitate architecture workshops; Support presales including proposals and technical presentations; Mentor delivery teams","AWS data services; cloud-native architectures; data governance; data security; data integration; data management",KHONG_NHAC,KHONG_NHAC,"Client-facing; global company 70+ countries",KHONG_NHAC,2026-08-22,"JD DUY NHAT khong ghi so nam. Trong tam presales + client-facing - dac trung cong ty dich vu, khac han nhom ngan hang."
ARCH08,SA-nab.txt,https://www.linkedin.com/jobs/view/4454511089/,NAB Innovation Centre Vietnam,enterprise_bank,product_inhouse,Solution Architect - BTB (Transaction Banking),10+ years,5+ years,L7,TRUE,"Define and deliver end-to-end solution architectures aligned with enterprise technology roadmap; lead architectural option analysis; collaborate with Enterprise, Security and Data Architects","Engage with Product Owners, Project Managers and Engineering to define end-to-end solution architectures; Lead architectural option analysis including COTS evaluation, microservice architectures, public cloud services; Collaborate with broader architecture community for enterprise-wide patterns, standards and governance","COTS evaluation; microservices; public cloud; enterprise patterns and governance; Commercial/Business Lending, Leasing/Equipment Finance domain","Architecture or technology-related certifications/cloud will be an advantage",KHONG_NHAC,"Hybrid; Ha Noi",KHONG_NHAC,2026-08-22,"KHOI YEU CAU TRUNG NGUYEN VAN 5 gach dau dong voi ARCH03 (Enterprise Architect). Bang chung truc tiep NAB dung chung JD cho EA va SA."
ARCH09,ITviec-TPBank,https://itviec.com/it-jobs/enterprise-architect-infrastructure-cloud-ngan-hang-tmcp-tien-phong-tpbank-3844,TPBank,enterprise_bank,product_inhouse,"Enterprise Architect (Infrastructure, Cloud)",Toi thieu 10 nam,3-5 nam,L7,TRUE,"Ban hanh tieu chuan, nguyen tac va mo hinh kien truc cong nghe ap dung TOAN NGAN HANG; tham dinh kien truc cac du an CNTT trong diem; tu van cho Ban lanh dao ve chien luoc cong nghe va dinh huong dau tu CNTT","Xay dung Enterprise Architecture, Technology Roadmap va Target Architecture cho Infrastructure & Technology Platform; Thiet ke kien truc tong the cho Data Center, Hybrid Cloud, Container Platform, Middleware, Storage; Ban hanh tieu chuan kien truc toan Ngan hang; Tham dinh kien truc du an trong diem; Danh gia va chuan hoa cong nghe; Tu van Ban lanh dao; Phoi hop voi Infrastructure, Security, Application, Data","Enterprise Architecture; Infrastructure Architecture; Cloud Architecture; Architecture Governance; Hybrid Cloud; Multi-DC; High Availability; Disaster Recovery; Business Continuity; Java; Database",KHONG_NHAC,KHONG_NHAC,"At office; Ha Noi; Monday-Friday; overtime policy = No OT","Thu nhap khoang 15-17 thang/nam (khong co so tuyet doi)",2026-08-22,"JD MOI - tim tren ITviec 22/08/2026. Bien the DOMAIN = ha tang/cloud, khac han bien the ung dung. JD DUY NHAT trong 10 mau noi ve co cau thu nhap."
ARCH10,ITviec-MEGAZONE,https://itviec.com/it-jobs/cloud-solution-architect-aws-azure-senior-junior-megazone-5228,MEGAZONE Vietnam,outsourcing,outsourcing,"Cloud Solution Architect (AWS/Azure) (Senior, Junior)",1-5 years,KHONG_NHAC,L4-L5,TRUE,"Take ownership of technical engagements and project success; act as liaison between sales and offshore delivery teams; technical ambassador for the region; reports to Head of Vietnam Business","Present complex solutions and integrations; Collaborate with local sales to develop business opportunities; Design and propose solutions addressing client needs; Act as liaison between sales and offshore delivery; Provide technical enablement to country sales team; Craft responses to RFPs","AWS; Azure; pre-sales and technical consulting B2B; CI/CD; Kubernetes; Databases; AWS/Azure Management; cloud migration","AWS Solutions Architect Associate strongly preferred (khong bat buoc)","BS degree in Computer Science or equivalent practical experience","At office; Ha Noi; gio lam co the 1:00 PM - 9:00 PM tuy du an; No OT",Negotiation,2026-08-22,"JD MOI - PHAT HIEN QUAN TRONG. Title 'Solution Architect' o muc 1-5 nam, co ca nhan JUNIOR. Vai tro thuc chat la presales cloud tai cong ty dai ly AWS/Azure. Pha gia dinh 'moi Architect deu la destination node'."
