jd_id,url,company,company_type,business_model,role_specific,title_observed,years_required,band_label_user,band_final,scope_signals,tasks_raw,skills_hard_raw,skills_soft_raw,certs,degree_requirement,work_env_signals,salary_posted,captured_at,note
FE01,https://www.linkedin.com/jobs/view/front-end-engineer-intern-reactjs-6-months-internship-at-code-leap-4430213926/,CODE LEAP,outsourcing,outsourcing,Frontend Engineer (ReactJS) intern,KHONG_NHAC,L1,under the supervision of senior engineers; assist in debugging; collaborate with the development team to solve problems; participate in design sessions and contribute ideas; gain exposure to software architecture; assist in documentation; mentorship from seasoned engineers,Develop and maintain software components under supervision; Implement and test new features following coding standards; Assist in debugging and refining application functionality; Collaborate with team to discuss and solve problems; Participate in software design sessions; Assist in documentation of software functionality,ReactJS; JavaScript; TypeScript; Git / version control; algorithms; data structures; frontend development principles,problem-solving; attention to detail; eager to learn; proactively reach out and ask for help,KHONG_NHAC (cty tài trợ chứng chỉ như benefit," không phải yêu cầu)",Enrollment in an undergraduate or graduate program in IT," CS"," Engineering"," or a related field",onsite; tối thiểu 4 ngày/tuần; tài trợ Grab đi lại; cho nghỉ theo lịch học ĐH; KHONG_NHAC OT,Allowance will be provided (không có số),2026-08-22,Yêu cầu tiếng Anh IELTS 6.5 / CEFR B2 — cao bất thường cho band L1. Công ty domain .de," nhiều khả năng làm cho khách Đức."
FE02,https://builtin.com/job/fullstack-engineer-intern-level/6875115,NAVER Vietnam (VVE),bigtech_fdi,product_inhouse,Fullstack Engineer (Intern Level),KHONG_NHAC,L1,KHONG_NHAC,Develop Visual Dashboard using AI; Develop Automation QA Framework using AI,HTML; CSS; JS; React; Next.js; Data Structures; Algorithms; (plus) AI; MCP,KHONG_NHAC,KHONG_NHAC,Pursuing a Bachelor's degree with a focus on software development or other technical related fields,autonomy over working time and place; home office setup allowance; KHONG_NHAC ca kíp/OT/công tác,KHONG_NHAC (chỉ mô tả gói phúc lợi," 13th month salary)",2026-08-22,Title ghi Fullstack nhưng nội dung là frontend — lệch title. JD chỉ có 2 dòng task," rất thưa. Không có bất kỳ tín hiệu scope nào. NAVER = FDI Hàn Quốc làm product in-house."
FE03,https://www.linkedin.com/jobs/view/2026-vietnam-software-engineering-internship-at-axon-4378757952/,Axon,bigtech_fdi,product_inhouse,generic SWE,2026 Vietnam Software Engineering Internship,KHONG_NHAC (đang học),L1,L1,coaching from veteran teammates; regular 1:1s with mentor; career advice from manager; present ideas to executive leadership; NHUNG task list ghi 'owning and driving end-to-end features' — trùng nguyên văn với JD SWE II,Owning and driving end-to-end features with Product and Design; Working with latest open source technologies; Participating in code reviews and architecture design meetings; Ensuring code hits a high bar for quality; Daily standup and sprint planning,one OOP language (Java/Python/Scala/Go/C#); SQL or NoSQL; open source technologies,effective communication; collaboration,KHONG_NHAC,"Pursuing graduation in CS, Engineering, or related field at a community college, university, OR BOOTCAMP",KHONG_NHAC,KHONG_NHAC,2026-08-22,Chấp nhận bootcamp ngang đại học. Task list dùng chung template với band cao hơn
FE04,https://careers.holistics.io/job-openings/software-engineering-intern,Holistics,product_local,product_inhouse,generic SWE (FE-heavy),Software Engineering Intern,KHONG_NHAC (đang học),L1,L1,"pair programming thường xuyên; 'you don't just write code based on requirements, you debate the requirements with us'; rotate 3-6 tháng","Implement back-end features & APIs; Build complex interactive data analysis interface, reusable front-end JS/HTML components; Translate wireframes into working prototypes; Develop and improve website experience; Support customers with troubleshooting",HTML5; JavaScript; Vue.js; ES6; Ruby; PostgreSQL; Redis; SQL,"strong problem solving (most important); team player; original ideas, creativity, critical thinking",KHONG_NHAC,Currently pursuing Computer Science or related fields,hybrid WFH/WFO; 9:00-18:00 T2-T6; văn phòng HCMC,KHONG_NHAC,2026-08-22,'Tech stack experience not required' — tuyển theo nền tảng chứ không theo công nghệ
FE05,https://www.linkedin.com/jobs/view/4456718146/,Nexlab Technology,product_local,outsourcing (enterprise clients),fullstack,Junior Fullstack Engineer (AI-First),"under 2 years, HOAC no professional experience nếu đã deploy 1 sản phẩm",L1,L2 ⚠,"own an entire small-to-mid-scale web product; responsible for directing AI agent, verifying output, making quality decisions; handle incidents within your assigned scope; escalate early when blocked","Read specs, translate into prompts for AI coding agent, verify output; Build web apps with HTML/CSS/TS/React, reusable components, API integration; Design RESTful APIs, DB schemas, SQL; Write automated tests, catch AI errors (business logic, security, race conditions, N+1); Deploy to staging/production, monitor logs","TypeScript/JavaScript; React; HTML/CSS ES6+; REST API; relational DB + SQL JOINs; Git; AI coding agent (Claude Code, Cursor, Copilot)",research before asking; escalate early; never submit code you cannot explain,KHONG_NHAC,KHONG_NHAC — thay bằng yêu cầu có GitHub repo / live demo / sản phẩm đã deploy,onsite Tân Bình HCMC; 09:00-18:00 T2-T6,KHONG_NHAC,2026-08-22,"Không yêu cầu bằng cấp, thay bằng sản phẩm đã deploy. Mô hình AI-First Spec-Driven: AI viết phần lớn code, engineer verify"
FE06,https://www.linkedin.com/jobs/view/frontend-software-engineer-i-at-axon-4402682882/,Axon,bigtech_fdi,product_inhouse,frontend,Frontend Software Engineer I,2+ years,L3,L3,"TEMPLATE DUNG CHUNG — trùng nguyên văn với Intern và SWE II: participating in code reviews; owning end-to-end features; influence peers, advise senior leaders, coach and mentor junior team members","(giống FE03) Participating in code reviews and architecture design meetings; Owning and driving end-to-end features with Product and Design; Ensuring code hits high bar for quality; Partner with internal teams and agencies; Influence peers, coach and mentor junior team members; Facilitate cross-team collaboration","ReactJS; JavaScript; CS background (programming, data structure, algorithm)",clear communication in English,KHONG_NHAC,KHONG_NHAC,"hybrid HCMC; onsite T3-T6, remote T2",KHONG_NHAC,2026-08-22,Chỉ khác FE07 ở số năm (2+ vs 3+). Đây là bằng chứng trực tiếp về ranh giới band ~3 năm
FE07,https://www.linkedin.com/jobs/view/frontend-software-engineer-i-ii-hybrid-at-axon-4010550148/,Axon,bigtech_fdi,product_inhouse,frontend,Frontend Software Engineer I/II,3+ years,L4,L4,TEMPLATE DUNG CHUNG — giống hệt FE06,"(giống FE06, trùng nguyên văn)",ReactJS; JavaScript; CS background,clear communication in English,KHONG_NHAC,KHONG_NHAC,hybrid HCMC office,KHONG_NHAC,2026-08-22,"Cặp với FE06: cùng công ty, cùng task list, chỉ khác 2+ vs 3+ năm"
FE08,https://www.linkedin.com/jobs/view/software-engineer-ii-at-axon-4218018912/,Axon,bigtech_fdi,product_inhouse,backend/data,Software Engineer II,2+ years,L3-L4,L4,"TEMPLATE DUNG CHUNG; thêm 'make key design decisions that will shape this product'; 'demonstrated ability to make tough technical decisions based on requirements, constraints, and trade-offs'",(template Axon) + Partner with internal teams and agencies to make public safety data accessible,Java/Scala/Go/C#/Python; SQL or NoSQL; high availability high throughput web-scale data systems; Linux/Unix/Mac,KHONG_NHAC,KHONG_NHAC,"Bachelor's Degree in CS, Engineering, or related field",HCMC office 5 ngày/tuần (KHAC voi cac JD Axon khac la hybrid),KHONG_NHAC,2026-08-22,"Không phải frontend. Dùng để đối chiếu template Axon, không dùng cho skills của SWE_FRONTEND"
FE09,https://www.linkedin.com/jobs/view/4456096215/,Binance,bigtech_fdi,product_inhouse,fullstack + AI,Junior Software Engineer,KHONG_NHAC,L3,L3,"take ownership of a feature from requirement understanding to UI implementation, backend logic, AI integration, testing, iteration; willingness to work on ambiguous problems","Build end-to-end product features across frontend, backend, AI/LLM; Develop UI for internal tools, dashboards, AI assistants; Build backend services, APIs, data pipelines; Integrate LLM into product scenarios (RAG, agents, classification); Use AI coding tools to improve speed and quality",React/Vue/Angular; Python/Go/Java/Node.js; component design; state management; API integration; LLM API integration; prompt engineering; RAG; AI agents; Cursor/Claude Code/Copilot,strong ownership; good communication; willingness to work on ambiguous problems,KHONG_NHAC,"Bachelor's degree or above in CS, Software Engineering, Engineering, or related field",work-from-home arrangement (tuỳ team),KHONG_NHAC,2026-08-22,JD JUNIOR yêu cầu 'real experience with LLM/AI applications' — không phải nice-to-have
FE10,https://careers.holistics.io/job-openings/frontend-engineer-with-passion-for-ui-ux-and-performance,Holistics,product_local,product_inhouse,frontend,Frontend Engineer (Junior/Middle),KHONG_NHAC,L3-L4,L3-L4,"squad 5-7 người theo mô hình Spotify; pair programming; rotate 3-6 tháng; 'backend of the frontend' — frontend architecture, thiết kế cấu trúc dữ liệu cho visualization, đóng gói component dùng chung nhiều product line",Build web-based IDE for data analysts; Build grid-based dashboard as-code; Create custom interactive visualization components (Vega-Lite); Build a new design system and integrate across product lines; Develop components rendering hundreds of thousands of data points; Audit and optimize frontend performance; Develop CI/CD pipeline for frontend,Vue.js 3.0; TypeScript; Web workers; performance optimization; CS foundation,English written communication (strong writing culture); continuous learning mindset; genuine interest in the product space,KHONG_NHAC,KHONG_NHAC — 'strong foundation in Computer Science',hybrid WFO+WFH; 9:00-18:00 T2-T6; HCMC,KHONG_NHAC,2026-08-22,'Experience with our technology stack not required' — tuyển theo nền tảng. Phạm vi công việc rộng hơn hẳn title Junior/Middle
