run_order,role_code,role_name,role_name_vn,role_group,archetype,bands,tier,pass1_done,pass2_done,note
8,CLOUD_ARCH,Cloud Architect,Kiến trúc sư đám mây,"Cloud, DevOps & SRE",C,L6-L8,2,,,Destination node.
9,CLOUD_LEAD,DevOps / Platform Lead,Trưởng nhóm DevOps,"Cloud, DevOps & SRE",C,L6-L8,2,,,Destination node.
48,CLOUD_AUTO,Automation / CI-CD Engineer,Kỹ sư tự động hóa,"Cloud, DevOps & SRE",B,L3-L6,3,,,Giao thoa với QA_AUTO và CLOUD_DEVOPS.
49,CLOUD_DEVOPS,DevOps Engineer,Kỹ sư DevOps,"Cloud, DevOps & SRE",B,L3-L7,1,,,"Ca kinh điển của ""không có fresher"". Vào từ SysAdmin hoặc Backend."
50,CLOUD_DEVSECOPS,DevSecOps Engineer,Kỹ sư DevSecOps,"Cloud, DevOps & SRE",B,L4-L7,2,,,Vào từ DevOps hoặc AppSec.
51,CLOUD_FINOPS,FinOps Specialist,Chuyên viên tối ưu chi phí đám mây,"Cloud, DevOps & SRE",B,L4-L6,3,,,Rất hiếm là role toàn thời gian; thường kiêm nhiệm.
52,CLOUD_PLATFORM,Platform Engineer,Kỹ sư nền tảng,"Cloud, DevOps & SRE",B,L4-L7,3,,,Title còn mới tại VN.
53,CLOUD_SRE,Site Reliability Engineer,Kỹ sư tin cậy hệ thống / SRE,"Cloud, DevOps & SRE",B,L4-L7,2,,,Chủ yếu ở big tech/fintech; entry band cao.
75,CLOUD_ENG,Cloud Engineer,Kỹ sư điện toán đám mây,"Cloud, DevOps & SRE",D,L2-L6,2,,,AWS/Azure partner tại VN CÓ tuyển fresher cloud. Đây là ngoại lệ trong domain.
10,SEC_ISM,Information Security Manager,Quản lý an toàn thông tin / Trưởng phòng bảo mật,Cyber Security,C,L7-L9,2,,,Destination node.
32,SEC_SOC,SOC Analyst,Chuyên viên giám sát an ninh (SOC),Cyber Security,A,L1-L6,1,,,Cửa vào entry-level duy nhất của domain SEC. Có tier L1/L2/L3 nội bộ — đừng nhầm với band toàn cục.
54,SEC_AISEC,AI Security Engineer,Chuyên viên bảo mật AI,Cyber Security,B,L4-L7,3,,,Rất mới; verify sự tồn tại tại VN trước.
55,SEC_APPSEC,Application Security Engineer,Kỹ sư bảo mật ứng dụng (AppSec),Cyber Security,B,L4-L7,2,,,Vào từ Dev hoặc Pentest.
56,SEC_ENG,Cybersecurity / Security Engineer,Kỹ sư an ninh mạng / Kỹ sư bảo mật,Cyber Security,B,L3-L7,2,,,Vào từ Network/SysAdmin/SOC.
57,SEC_GRC,GRC Analyst,Chuyên viên tuân thủ & quản trị rủi ro,Cyber Security,B,L3-L7,2,,,Có thể có entry qua audit/compliance nền phi kỹ thuật.
58,SEC_IR,Incident Response / DFIR Specialist,Chuyên viên ứng cứu sự cố & điều tra số,Cyber Security,B,L4-L7,3,,,Vào từ SOC L3.
59,SEC_PENTEST,Penetration Tester,Chuyên viên kiểm thử xâm nhập / Hacker mũ trắng,Cyber Security,B,L3-L7,2,,,"Route đặc thù: CTF/bug bounty → pentest, không qua ladder công ty."
6,DATA_AIARCH,AI Solution Architect,Kiến trúc sư giải pháp AI,"Data, AI & Machine Learning",C,L7-L8,3,,,Destination node.
7,DATA_PM,Data Product Manager,Quản lý sản phẩm dữ liệu,"Data, AI & Machine Learning",C,L5-L7,2,,,Destination; vào từ PROD_PM hoặc DATA_DA senior.
31,DATA_DA,Data Analyst,Chuyên viên phân tích dữ liệu,"Data, AI & Machine Learning",A,L1-L6,1,,,Cửa vào phổ biến nhất của cả domain Data tại VN.
38,DATA_AI,AI Engineer,Kỹ sư trí tuệ nhân tạo,"Data, AI & Machine Learning",B,L3-L7,2,,,Ranh giới với DATA_ML mờ — xem mục 3 của taxonomy.
39,DATA_ANALYTICSENG,Analytics Engineer,Kỹ sư phân tích dữ liệu,"Data, AI & Machine Learning",B,L4-L6,3,,,Title còn hiếm tại VN; thường là DE hoặc DA làm kiêm.
40,DATA_CV_NLP,Computer Vision / NLP Engineer,Kỹ sư thị giác máy tính / xử lý ngôn ngữ,"Data, AI & Machine Learning",B,L3-L7,2,,,Gắn viện nghiên cứu / VinAI / FPT AI.
41,DATA_DE,Data Engineer,Kỹ sư dữ liệu,"Data, AI & Machine Learning",B,L3-L7,2,,,Gần như không có Intern/Fresher DE. Vào từ Backend hoặc DA.
42,DATA_DS,Data Scientist,Nhà khoa học dữ liệu,"Data, AI & Machine Learning",B,L3-L7,2,,,"Có fresher DS ở một số nơi nhưng rất mỏng, phần lớn yêu cầu Master/kinh nghiệm."
43,DATA_GENAI,Generative AI / LLM Engineer,Kỹ sư AI tạo sinh / Kỹ sư LLM,"Data, AI & Machine Learning",B,L4-L7,2,,,Mới; phần lớn là Backend/AI engineer chuyển sang 2023+.
44,DATA_GOV,Data Governance Specialist,Chuyên viên quản trị dữ liệu,"Data, AI & Machine Learning",B,L4-L7,3,,,Ngân hàng là nơi tuyển chính.
45,DATA_ML,Machine Learning Engineer,Kỹ sư học máy,"Data, AI & Machine Learning",B,L3-L7,2,,,"Vào từ DS, Backend, hoặc research."
46,DATA_MLOPS,MLOps Engineer,Kỹ sư MLOps / Kỹ sư vận hành hệ thống AI,"Data, AI & Machine Learning",B,L4-L7,2,,,Giao thoa mạnh với CLOUD_DEVOPS.
47,DATA_PROMPT,Prompt Engineer,Kỹ sư thiết kế câu lệnh,"Data, AI & Machine Learning",B,L3-L5,3,,,Nghi ngờ đây không phải role độc lập tại VN. Nên verify sự tồn tại trước khi làm ladder.
74,DATA_BI,Business Intelligence Analyst,Chuyên viên BI,"Data, AI & Machine Learning",D,L2-L6,2,,,"Có tuyển fresher (đặc biệt ngân hàng, retail) nhưng cũng nhiều người từ DA sang."
